ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price,BusStop,Distance,EmbeddedMap
21,Fourth Pg Accommodation,"No.400, 30th Cross, 8th B Main Road, Jayanagar 4th Block, Bangalore - 560011 (Above Sukh Sagar Hotel)",560004,12.92898045,77.58266927,average,3.9,1,1,1,0,10600,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15556.399998031542!2d77.5827371871582!3d12.901291000000015!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae1538d75c3b6f%3A0x8a1738840136fb9d!2sSs%20comforts%20gents%20pg%20bilekahalli!5e0!3m2!1sen!2sin!4v1683006217014!5m2!1sen!2sin
23,My Home Pg For Men,"No.31/50, Netaji Road, Tata Silk Farm Road, T.R Nagar, Basavanagudi, Bangalore - 560004 (Near Nagasandra Circle)",560078,12.93496039,77.57154149,average,3.8,1,0,0,0,8700,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d62225.60084420936!2d77.5518370761389!3d12.901287574711777!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae1511cdc32ddd%3A0xe56eaada7621bbdb!2sSharda%20Krupa%20pg%20for%20boys!5e0!3m2!1sen!2sin!4v1683006277125!5m2!1sen!2sin
24,ATITHI BOYS PG,"1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560111,12.89653916,77.58294257,average,4.1,1,0,0,0,8500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m17!1m12!1m3!1d3888.6721967010544!2d77.5826944!3d12.928777799999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m2!1m1!2zMTLCsDU1JzQzLjYiTiA3N8KwMzQnNTcuNyJF!5e0!3m2!1sen!2sin!4v1683006437548!5m2!1sen!2sin
25,ELITE GIRLS PG / HOSTEL,"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",560078,12.94084024,77.58229152,good,4.9,0,0,1,1,7700,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m17!1m12!1m3!1d3888.578694078187!2d77.5715!3d12.934777799999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m2!1m1!2zMTLCsDU2JzA1LjIiTiA3N8KwMzQnMTcuNCJF!5e0!3m2!1sen!2sin!4v1683006488250!5m2!1sen!2sin
26,Lohitha Girl's PG,"1555, 6th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.92745576,77.55894558,good,4.6,1,1,1,1,9500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497792.68398708786!2d77.2348489!3d12.9073777!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15639900089f%3A0x1cdd09589ac73ba!2sATITHI%20BOYS%20PG!5e0!3m2!1sen!2sin!4v1683006524740!5m2!1sen!2sin
27,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078,12.97296006,77.55619899,good,4.9,1,1,1,1,10000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497792.68398708786!2d77.2348489!3d12.9073777!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae151a7a331d03%3A0x5ef8ece79f08198c!2sELITE%20GIRLS%20PG%20%2F%20HOSTEL!5e0!3m2!1sen!2sin!4v1683006550883!5m2!1sen!2sin
28,Ganapa's Boys PG,"Agasthya Arcade, 3rd Cross, near Dayanand Sagar College, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.97200805,77.54959699,good,4.6,1,0,0,1,8500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497792.68398708786!2d77.2348489!3d12.9073777!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae1562df2118d3%3A0x261030b280c7dec6!2sLohitha%20Girl&#39;s%20PG!5e0!3m2!1sen!2sin!4v1683006593759!5m2!1sen!2sin
29,SAGAR BOYS PG,"WH68+5PW, Sagar Boys PG, opposite Dayanand sagar college, Bengaluru, Karnataka 560078",560078,12.98271377,77.57294294,average,3.8,1,0,0,1,6500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497792.68398708786!2d77.2348489!3d12.9073777!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae157330e70b95%3A0x61fedf5d73b7d995!2sAnagha%20Girls%20PG!5e0!3m2!1sen!2sin!4v1683006618589!5m2!1sen!2sin
30,Yashoda Girls PG,"WH58+H2C, 7th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.98539013,77.53723737,average,4.1,1,1,1,1,10500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497786.58377699926!2d77.0044005!3d12.9104412!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae153f124d1d87%3A0x4e4b68ecd6eb5493!2sGanapa&#39;s%20Boys%20PG!5e0!3m2!1sen!2sin!4v1683006657761!5m2!1sen!2sin
31,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078,12.91384236,77.5705547,good,4.9,1,1,1,1,10000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497786.58377699926!2d77.0044005!3d12.9104412!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae152f58cead87%3A0x8e26fab2783cd2ef!2sSAGAR%20BOYS%20PG!5e0!3m2!1sen!2sin!4v1683006682785!5m2!1sen!2sin
32,Stanza Living Anamur House,"Sudhakar Readdy, 70, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.91216916,77.57115552,average,4.2,1,1,1,1,95000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d497786.58377699926!2d77.0044005!3d12.9104412!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15827eab8c29%3A0xb0d9db4defb00c7d!2sYashoda%20Girls%20PG!5e0!3m2!1sen!2sin!4v1683006712330!5m2!1sen!2sin
33,Paradise PG For Boys & Men,"10, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560070",560078,12.90689259,77.5658607,average,3.9,1,1,1,1,8600,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31110.60261801128!2d77.5330467!3d12.9189456!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae157330e70b95%3A0x61fedf5d73b7d995!2sAnagha%20Girls%20PG!5e0!3m2!1sen!2sin!4v1683006742915!5m2!1sen!2sin
34,Keerthi sai nest ladies pg,"metro statio, No 46/5 17th A cross 38th main JP nagar phase 6 Near sindhoor convention hall, behind JP nagar, Bengaluru, Karnataka 560078",560078,12.90655104,77.58001781,average,4.3,1,1,1,1,9500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31110.60261801128!2d77.5330467!3d12.9189456!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15d4ac457f89%3A0x67c4c0b9a2ae0f26!2sStanza%20Living%20Anamur%20House!5e0!3m2!1sen!2sin!4v1683006772519!5m2!1sen!2sin
35,JP Nagar PG,"1, 17th cross, 33rd Main Rd, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",560078,12.90544739,77.58588402,average,4.1,1,1,1,1,10500,"JPNagara 6th Phase,J.P.NAGARA 6TH PHASE,IN FRONT OF NANDHINI HOTEL",0.04,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31111.592927671245!2d77.5535011!3d12.910992!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15f032c4255d%3A0x2cc63fc4fca3241b!2sParadise%20PG%20For%20Boys%20%26%20Men!5e0!3m2!1sen!2sin!4v1683006808080!5m2!1sen!2sin
36,Shirdi sai mansion pg,"16th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",560078,12.91398083,77.59412377,average,4.2,1,0,0,1,4500,"JPNagara 6th Phase,J.P.NAGARA 6TH PHASE,IN FRONT OF NANDHINI HOTEL",0.04,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31114.174401846463!2d77.5661991!3d12.8902364!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15c2626cfeb9%3A0x634a0e20e20412ec!2sKeerthi%20sai%20nest%20ladies%20pg!5e0!3m2!1sen!2sin!4v1683006846010!5m2!1sen!2sin
37,Skanda Boys PG,"6th Phase, 23 ,1st main road, JP Nagar, Puttenahalli, Bengaluru, Karnataka 560078",560078,12.90270626,77.58241089,average,3.9,1,1,1,1,5500,"JPNagara 6th Phase,J.P.NAGARA 6TH PHASE,IN FRONT OF NANDHINI HOTEL",0.04,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31112.3974362976!2d77.5452003!3d12.9045271!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae156c0a2a5733%3A0x10de94b25cb7e697!2sJP%20Nagar%20PG!5e0!3m2!1sen!2sin!4v1683006895099!5m2!1sen!2sin
38,Flourish Luxury Ladies Pg,"No:8,Behind Essar,65/8/1,Kanakapura Road, JP Nagar 1st Phase, Bengaluru 2nd Cross, Gangadhar Nagar, Opp Sarakki Bus Stop and Metro Piller : 55, Bengaluru, Karnataka 560078",560050,12.91289268,77.57037174,average,4.5,1,1,1,1,7000,"JPNagara 6th Phase,J.P.NAGARA 6TH PHASE,IN FRONT OF NANDHINI HOTEL",0.04,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d31112.3974362976!2d77.5452003!3d12.9045271!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae152dcd71167b%3A0x5f6efc2d158b89db!2sShirdi%20sai%20mansion%20pg!5e0!3m2!1sen!2sin!4v1683006923529!5m2!1sen!2sin
39,Venkateshwara P G,"1061 3rd Cross 7th Main Srinivasnagar, Banashankari 1st Stage, Bengaluru, Karnataka 560050",560070,12.93757084,77.55883037,good,5,1,1,1,1,6000,"JPNagara 6th Phase,J.P.NAGARA 6TH PHASE,IN FRONT OF NANDHINI HOTEL",0.04,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d62235.03201273465!2d77.5276454!3d12.8633203!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae159ba2d32b3f%3A0xdfd7453aa9e2e47c!2sSkanda%20Boys%20PG!5e0!3m2!1sen!2sin!4v1683006952978!5m2!1sen!2sin
