,ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
23,25,ELITE GIRLS PG / HOSTEL,"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",560078.0,12.94084024,77.58229152,good,4.9,1.0,0.0,0.0,1.0,4700
24,26,Lohitha Girl's PG,"1555, 6th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.92745576,77.55894558,good,4.6,1.0,1.0,1.0,1.0,6000
25,27,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078.0,12.97296006,77.55619899,good,4.9,1.0,1.0,1.0,1.0,7000
26,28,Ganapa's Boys PG,"Agasthya Arcade, 3rd Cross, near Dayanand Sagar College, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.97200805,77.54959699,good,4.6,1.0,1.0,1.0,1.0,5000
27,29,SAGAR BOYS PG,"WH68+5PW, Sagar Boys PG, opposite Dayanand sagar college, Bengaluru, Karnataka 560078",560078.0,12.98271377,77.57294294,average,3.8,1.0,0.0,0.0,1.0,4500
28,30,Yashoda Girls PG,"WH58+H2C, 7th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.98539013,77.53723737,average,4.1,1.0,1.0,1.0,1.0,5500
29,31,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078.0,12.91384236,77.5705547,good,4.9,1.0,1.0,1.0,1.0,10000
30,32,Stanza Living Anamur House,"Sudhakar Readdy, 70, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.91216916,77.57115552,average,4.2,1.0,1.0,1.0,1.0,6000
31,33,Paradise PG For Boys & Men,"10, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560070",560078.0,12.90689259,77.5658607,average,3.9,1.0,1.0,1.0,1.0,5600
32,34,Keerthi sai nest ladies pg,"metro statio, No 46/5 17th A cross 38th main JP nagar phase 6 Near sindhoor convention hall, behind JP nagar, Bengaluru, Karnataka 560078",560078.0,12.90655104,77.58001781,average,4.3,1.0,1.0,1.0,1.0,6500
33,35,JP Nagar PG,"1, 17th cross, 33rd Main Rd, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.90544739,77.58588402,average,4.1,1.0,1.0,1.0,1.0,5500
34,36,Shirdi sai mansion pg,"16th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.91398083,77.59412377,average,4.2,1.0,0.0,0.0,1.0,4500
35,37,Skanda Boys PG,"6th Phase, 23 ,1st main road, JP Nagar, Puttenahalli, Bengaluru, Karnataka 560078",560078.0,12.90270626,77.58241089,average,3.9,1.0,1.0,1.0,1.0,5500
36,38,Flourish Luxury Ladies Pg,"No:8,Behind Essar,65/8/1,Kanakapura Road, JP Nagar 1st Phase, Bengaluru 2nd Cross, Gangadhar Nagar, Opp Sarakki Bus Stop and Metro Piller : 55, Bengaluru, Karnataka 560078",560050.0,12.91289268,77.57037174,average,4.5,1.0,1.0,1.0,1.0,7000
37,39,Venkateshwara P G,"1061 3rd Cross 7th Main Srinivasnagar, Banashankari 1st Stage, Bengaluru, Karnataka 560050",560070.0,12.93757084,77.55883037,good,5.0,1.0,1.0,1.0,1.0,6000
38,40,The Beehive Hostel Luxury mens PG,"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560078.0,12.92420664,77.57385514,average,4.4,1.0,1.0,1.0,1.0,6500
39,41,myroomie-Erica Girls PG / Hoste,"Erica, Eshwara Nagar, Banashankari Temple Ward, Bengaluru, Karnataka 560078",560070.0,12.91434748,77.56976917,average,4.3,1.0,1.0,1.0,1.0,7000
