ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
57,S S Paying Guest For Men,"No 185, SSTowers,Kanakapura Road,Jp Nagar(Opposite Sarakki Bus Stop,Near Pillar No 55)",560078,12.91007039,77.57281299,,3.7,,,,,3000
58,Skanda PG,"No 23, Asta Lakshmi Layout, 1st Main Road, Puttenahalli, Jp Nagar 6th Phase (Near Inchara Hotel)",560083,12.90000854,77.58295356,,4,,,,,4000
59,G S PG,"G S Apartment, Kembhathalli Road, Gottigere(Behind Body and Beauty Wellness Center)",560076,12.85441935,77.58699027,,4,,,,,4500
60,Stay Safe PG,"NO 301 G R Queens Ambar, Omkar Nagar 1st Cross Arekare, Hulimavu",560078,12.87026569,77.58899233,,4,,,,,3500
61,SR2 Galaxy PG Girls,"No. 9/10, 2nd Main, RBI Layaout, Vinayaka School Arch, Jp Nagar 7th Phase",560060,12.89449335,77.57714244,,4,,,,,5000
62,Sai Sthri Raksha Ladies Pg,"No.102, LIGH, 2nd Main, 2nd Stage, Kengeri Satelite Town(Near Hoysala Circle)",560098,12.92539447,77.48518074,,4.3,,,,,4500
63,Good Lands Luxury Pg,"No 24, 1st Cross BHEL Layout, Rajarajeshwari Nagar(Near Global Tech Park Front Gate and R V College Of Engineering)",560060,12.92391674,77.50586346,,4.5,,,,,6000
64,Sri Sai Residence For Ladies,"No 7, 1st Main Outerring RoadKengeri Main Road, Kengeri Satelite Town(Opposite to Krishna Grand Hotel)",560059,12.922259,77.48593087,,4.7,,,,,10000
65,Sri Sai Ram Ladies & Gents PG,"No.468 Global Bulding, 3rd Cross, Global Village Main Road, R V Road",560060,12.91466589,77.49990998,,4,,,,,3000
66,Shree Raksha Paying Guest,"No.1, 1st Main, 3rd Cross, Kengeri Satellite Town, Kengeri",560098,12.91325801,77.48084537,,3.4,,,,,4000
67,Hema PG For Men and Women,"No 650D, BEML ROAD, Rajarajeshwari Nagar(Above Hyderabadi Biriyani Resturant and BEML COMPLEX)",560111,12.93067323,77.51403304,,3.8,,,,,5000
68,Cloud 9 Pg,"No 73/732, M R Complex, 14th Main Road, Kumaraswamy Layout(Near Police Station)",560085,12.9118534,77.56681698,,3.4,,,,,3500
69,Akshaya PG for Men's,"597 Police Station Rd, 2nd phase Hosakerehalli LAyout, Banashankari 3rd stage, Banashankari",560085,12.93352405,77.54467935,,3,,,,,5000
70,Adya Mansions (Best PG for Ladies),"83, 6th A Cross Rd, behind Sri Hari Kalyana Mantapa, Kaveri Nagar, Banagirinagara, Banashankari 3rd Stage, Banashankari",560078,12.93543227,77.55904916,,4.2,,,,,6000
71,Vbs Pg For Gents,"No 836, 7th Main, KSRTC Layout, Jp Nagar 2nd Phase(Beside Jp Nagar Congress Office)",560041,12.91399329,77.59488964,,4.5,,,,,7000
72,SHIRIDI SAI GENTS PG,"No 44, 11th A Main, 13th Cross, Jayanagar 5th Block (Near Ragavandra Temple)",560076,12.91927838,77.59133129,,4.5,,,,,8000
73,V B R LADIES P G,"No 456, Samrat Layout Arekere Bannerghatta Road, Arekere Gate",560076,12.89154578,77.59133408,,4.9,,,,,12000
