Address,rating,Hostel_name,Tags,Locality
"623/9, 1st B Main Rd, 7th Block West, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",3.9,White House Women's Residence,"['Security','Veg','women','girls']",Jayanagar
"177/B, 1/1 GF, 22nd Cross, 7th B Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",4.4,Keerthi PG For Ladies,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
"208, 7th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",4.3,Jayanthi Luxury PG for Girl,"['AC','Security','Veg','women','girls']",Jayanagar
"626, 1st Cross Rd, Jayanagar 6th Block, Jayanagar, Bengaluru, Karnataka 560070",4.4,Durga PG & Hostel,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
"No. 3475 6th Cross, Manjunath Nagar Raghuvanalli, Kanakapura Road",4,Rajmahal Pg,"['AC','Security','Veg','Men']",Raghuvanahalli
"No 1233/1 Surya Prema Appartment, 4th Floor, 1st Cross Manjunatha Nagara,Raghunalli",4.2,Nandana Organics Pg,"['Laundry','Security','Non-Veg','Men']",Raghuvanahalli
"No.10, Kanakpura Main Road, Raghunalli",4.1,SMP Paying Guest,"['AC','Security','Veg','Men']",Raghuvanahalli
No. 1738(Near Kumaraswamy Layout Bus Stop and Sagar Hospital and Dayananda Sagar College),4,Atithi Boys Pg,"['AC','Security','Veg','Men']",Kumaraswamy Layout
"No 56-163-08, Gangadhar Nagar, Jp Nagar (Opp Sarakki Bus Stop Metro Pillar No 55)",4.3,Flourish Paying Guest For,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"No 92, 4th Cross, Teachers Colony,Kumaraswamy Layout(Near Dayanand Sagar College)",4.5,RN Boys Pg,"['Laundry','Security','Non-Veg','Men']",Kumaraswamy Layout
"No 185, SSTowers,Kanakapura Road,Jp Nagar(Opposite Sarakki Bus Stop,Near Pillar No 55)",3.7,S S Paying Guest For Men,"['Security','Veg','Men']",JP Nagar
"No 23, Asta Lakshmi Layout, 1st Main Road, Puttenahalli, Jp Nagar 6th Phase (Near Inchara Hotel)",4,Skanda PG,"['AC','Security','Veg','Men']",JP Nagar
"G S Apartment, Kembhathalli Road, Gottigere(Behind Body and Beauty Wellness Center)",4,G S PG,"['AC','Security','Veg','women','girls']",Gottigere
"NO 301 G R Queens Ambar, Omkar Nagar 1st Cross Arekare, Hulimavu",4,Stay Safe PG,"['AC','Security','Veg','women','girls']",Hulimavu
"No. 9/10, 2nd Main, RBI Layaout, Vinayaka School Arch, Jp Nagar 7th Phase",4,SR2 Galaxy PG Girls,"['AC','Security','Veg','women','girls']",JP Nagar
"No.102, LIGH, 2nd Main, 2nd Stage, Kengeri Satelite Town(Near Hoysala Circle)",4.3,Sai Sthri Raksha Ladies Pg,"['Laundry','Security','Non-Veg','women','girls']",Kengeri
"No 24, 1st Cross BHEL Layout, Rajarajeshwari Nagar(Near Global Tech Park Front Gate and R V College Of Engineering)",4.5,Good Lands Luxury Pg,"['Laundry','Security','Non-Veg','women','girls']",Rajarajeshwari Nagar
"No 7, 1st Main Outerring RoadKengeri Main Road, Kengeri Satelite Town(Opposite to Krishna Grand Hotel)",4.7,Sri Sai Residence For Ladies,"['AC','Security','Veg','Laundry','women','girls']",Kengeri
"No.468 Global Bulding, 3rd Cross, Global Village Main Road, R V Road",4,Sri Sai Ram Ladies & Gents PG,"['Laundry','Security','Non-Veg','Women Men']",RV Road
"No.1, 1st Main, 3rd Cross, Kengeri Satellite Town, Kengeri",3.4,Shree Raksha Paying Guest,"['Security','Veg','women','girls']",Kengeri
"No 650D, BEML ROAD, Rajarajeshwari Nagar(Above Hyderabadi Biriyani Resturant and BEML COMPLEX)",3.8,Hema PG For Men and Women,"['Security','Veg','Women Men']",Rajarajeshwari Nagar
"No 73/732, M R Complex, 14th Main Road, Kumaraswamy Layout(Near Police Station)",3.4,Cloud 9 Pg,"['Security','Veg','women','girls']",Kumaraswamy Layout
"597 Police Station Rd, 2nd phase Hosakerehalli LAyout, Banashankari 3rd stage, Banashankari",3,Akshaya PG for Men's,"['Security','Veg','Men']",Hosakerehalli Layout
"83, 6th A Cross Rd, behind Sri Hari Kalyana Mantapa, Kaveri Nagar, Banagirinagara, Banashankari 3rd Stage, Banashankari",4.2,Adya Mansions (Best PG for Ladies),"['Laundry','Security','Non-Veg','women','girls']",Banagirinagar
"No 836, 7th Main, KSRTC Layout, Jp Nagar 2nd Phase(Beside Jp Nagar Congress Office)",4.5,Vbs Pg For Gents,"['Laundry','Security','Non-Veg','Men']",JP Nagar
"No 44, 11th A Main, 13th Cross, Jayanagar 5th Block (Near Ragavandra Temple)",4.5,SHIRIDI SAI GENTS PG,"['Laundry','Security','Non-Veg','Men']",Jayanagar
"No 456, Samrat Layout Arekere Bannerghatta Road, Arekere Gate",4.9,V B R LADIES P G,"['AC','Security','Veg','Laundry','women','girls']",Arekere Gate
"No18/19, 2nd Main Vijayshree Layout, Bannerghatta Road",4.8,SLN Homes Ladies Hostel,"['AC','Security','Veg','Laundry','women','girls']",Bannerghatta Road
"No.32, Arvind Complex, Kanakapura Main Road, 1st Phase, Jp Nagar",3.9,Aravind Modern Nest PG,"['Security','Veg','women','girls']",JP Nagar
"No. 224/54, 45th Cross, 8th Block, Jayanagar 8th Block",4.1,Sree Chakra Paying Guest Accommodation,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
"H.No.6, 20th Cross, 24th Main Road, Jp Nagar 5th Phase",4.6,Shree Vigneshwara Luxuries,"['AC','Security','Veg','Men']",JP Nagar
"No 1/A, 18th Cross, 23rd Main, Jp Nagar 5th Phase, Bangalore",4.9,Sri Vinayaka PG,"['AC','Security','Veg','Laundry','Men']",JP Nagar
"No 19, 17th Cross, 26th B Main, Murthappa Garden, Jp Nagar 6th Phase",4.1,Lakshmi Villas,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"No 701, Sri Ram Pg For Gents, Jayanagar 5th Block(Near Ragavendra Swami Matha)",3.7,Sri Ram Sri Lakshmi Pg,"['Security','Veg','women','girls']",Jayanagar
"No 18, 5th A Cross, 24th Main, JP Nagar, 2nd Phase, Jp Nagar(Near R V Dental Colleage)",4,Friends Pg,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"# 5, Sukh Mohan Villa, Apartment Road, 5th Phase, Jp Nagar",3.3,Mohan Vatika,"['Security','Veg','Men']",JP Nagar
Karnataka Paying Guest(Near Inchara Hotel),3.8,Karnataka Paying Guest,"['Security','Veg','women','girls']",JP Nagar
